,compound_emoji
1618,0.0
1619,0.353
1620,0.0
1621,0.278
1622,0.746
1623,0.3345
1624,0.188
1625,0.09
1626,0.221
1627,0.0
1628,0.0
1629,0.484
1630,0.0
1631,0.507
1632,0.433
1633,0.15866666666666665
1634,0.366
1635,0.018
1636,0.4245
1637,0.0
1638,0.111
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.464
1646,0.3345
1647,0.0
1648,-0.083
1649,0.14
1650,0.0
1651,0.353
1652,0.282
1653,0.0
1654,0.0
1655,0.353
1656,0.617
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.678
1670,0.464
1671,0.221
1672,0.0
1673,0.221
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.45
1682,0.689
1683,0.0
1684,0.0
1685,0.0
1686,0.689
1687,0.0
1688,0.0
1689,0.221
1690,0.221
1691,0.221
1692,-0.093
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.221
1700,-0.093
1701,0.255
1702,-0.0465
1703,0.221
1704,0.221
1705,0.221
1706,0.221
1707,0.221
1708,0.221
1709,0.221
1710,0.221
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.656
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.656
1722,0.0
1723,0.0
1724,0.157
1725,0.0
1726,0.0
1727,0.464
1728,0.332
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,-0.118
1734,0.0
1735,0.658
1736,0.368
1737,0.5115000000000001
1738,0.0
1739,0.0
1740,0.018
1741,0.223
1742,-0.093
1743,0.0
1744,0.4955
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.29100000000000004
1766,0.0
1767,0.0
1768,-0.06933333333333333
1769,-0.208
1770,-0.208
1771,0.29100000000000004
1772,0.0
1773,0.0
1774,-0.06933333333333333
1775,-0.208
1776,-0.208
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.511
